Price,Processor Brand,Processor Model,Generation,RAM,Storage,Graphics,Display,Adapter,Battery,Operating System,Networking,Keyboard,Bluetooth,Audio,WebCam,Ports & Connectors,Color ,Dimensions (W x D x H),Weight,Warranty ,Chipset,Optical Drive,Fingerprint,Body Material,Display Touch,Security,Touchpad,Included in the Box,SSD,Software,Others,Thermal Functionality,Display Size,Camera,Warranty,Keyborad,Dimension,Color,Interface,Manufacturing Warranty,Slots
143000,AMD,Ryzen 7,NULL,8GB,512GB SSD,"NVIDIA GeForce RTX 3050 Ti, 4GB GDDR6 Laptop GPU
With ROG Boost up to 1795MHz at 80W (95W with Dynamic Boost)",144Hz 15.6-inch FHD (1920 x 1080) 16:9 anti-glare display with Adaptive-Sync,"ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal
","56WHrs, 4S1P, 4-cell Li-ion
",Windows 10,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2;(*BT version may change with OS upgrades.) -RangeBoost,"Backlit Chiclet Keyboard 4-Zone RGB
 Number pad available",5.1 Dual-band,"Dolby Atmos
AI noise-canceling technology
Built-in array microphone
2x 1.5W speaker",FHD 1080P 60FPS external camera,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support DisplayPort / power delivery",Eclipse Grey,"35.4 x 25.9 x 2.06 ~ 2.59 cm (13.94"" x 10.20"" x 0.81"" ~ 1.02"")
","2.10 Kg (4.63 lbs)
","2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162000,Apple,M2 chip,NULL,8GB,256GB SSD,"10-core GPU 
16-core Neural Engine 
100GB/s memory bandwidth ","Retina display 
13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 
500 nits brightness 
The wide color (P3) 
True Tone technology ",67W USB-C Power Adapter,"Up to 20 hours of Apple TV app movie playback 
Up to 17 hours of wireless web 
58.2-watt-hour lithium-polymer battery",macOS,"802.11ax Wi-Fi 6 wireless networking 
IEEE 802.11a/b/g/n/ac compatible","Backlit Magic Keyboard with: 
65 (U.S.) or 66 (ISO) keys including 4 arrow keys in an inverted‑T arrangement","Bluetooth 5.0 wireless technology
","Stereo speakers with high dynamic range 
Wide stereo sound 
Support for Spatial Audio when playing music or video with Dolby Atmos on built-in speakers 
Spatial Audio with dynamic head tracking when using AirPods (3rd generation), AirPods Pro, and AirPods Max 
Studio-quality three-mic array with high signal-to-noise ratio and directional beamforming 
3.5 mm headphone jack with advanced support for high-impedance headphones ","720p FaceTime HD camera 
Advanced image signal processor with computational video","Two Thunderbolt / USB 4 ports with support for: 
Charging 
DisplayPort 
Thunderbolt 3 (up to 40Gb/s) 
USB 4 (up to 40Gb/s) 
USB 3.1 Gen 2 (up to 10Gb/s) ",Space Grey,"Height: 0.61 inch (1.56 cm) 
Width: 11.97 inches (30.41 cm) 
Depth: 8.36 inches (21.24 cm)", 3.0 pounds (1.4 kg),"01 year International Limited Warranty
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47500,Intel,Core i3,10th,4GB,256GB SSD,"Integrated Intel UHD Graphics
","15.6"" FHD (1920x1080) TN 220nits Anti-glare
","65W Round Tip (2-pin, Wall-mount)
","Integrated 35Wh
","Windows 11 Home 64, English
","11ac, 2x2 + BT5.0
","Non-backlit, English (EU)
","11ac, 2x2 + BT5.0
","High Definition (HD) Audio
","720p with Privacy Shutter
",NULL,"Platinum Grey
","362.2 x 253.4 x 19.9 mm (14.26 x 9.98 x 0.78 inches)
","1.85 kg (4.08 lbs)
",3 years,"Intel SoC Platform
",None,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78000,Intel,Core i5,11th,8GB,512GB SSD,"NVIDIA GeForce MX350 2GB GDDR5 Graphics
","15.6"" FHD (1920x1080) 250 TN DISPLAY Anti-glare, IMR (In-Mold Decoration by Roller)
",65W Adapter,"Integrated 38Wh, Mobile Mark 2018, Local video (1080p) playback150nits
",Windows 11 Home,"WiFi 11ac, 2x2
","Backlit, English (EU)
Number pad available",5.0,"Audio Chip: High Definition (HD) Audio, Realtek ALC3287 codec
Speakers: Stereo speakers, 1.5W x2, Dolby Audio","720p with Privacy Shutter
","1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (support data transfer only)
1x USB 2.0
1x HDMI 1.4b
1x Headphone / microphone combo jack (3.5mm)
4-in-1 Card Reader
","Arctic Grey
","359.2 x 236.5 x 19.9 mm (14.14 x 9.31 x 0.78 inches)
","Starting at 1.6kg / 3.5lbs
",3 year,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58000,Intel,Core i3,11th,8GB,256GB SSD,"Integrated Intel UHD Graphics
","14"" FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC
","65W Round Tip (2-pin, Wall-mount)
","45Wh Battery,
",Windows 11 Home,"WiFi 6, 2 x 2, 1 x 1 AC
","Backlit, English (EU)
 Number pad available
",5.0,"Dolby Audio 
2x, Array 
Stereo speakers, 1.5W x2","FW TPM 2.0,Camera Privacy Shutter 
720p Webcam with Privacy Shutter
 Number pad available","1x USB 3.2 Gen 1 
1x USB 2.0 
1x USB-C 3.2 Gen 1 (support data transfer only) 
HDMI 1.4b x 1 
1 x Headphone / mic combo 
SD card reader
","ARCTIC GREY
","324.2 x 215.7 x 19.9 mm (12.76 x 8.49 x 0.78 inches)
","1.41 kg (3.1 lbs)
",3 years International Limited Warranty (Terms & condition Apply As Per Lenovo),NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80500,Intel,Core i5,12th,8GB,512GB SSD,"Integrated Intel Iris Xe Graphics Functions as UHD Graphics
","14"" FHD (1920x1080) TN 250nits Anti-glare
","65W Round Tip (3-pin)
","Integrated 45Wh Battery,
",Windows 11 Home,"Wi-Fi 6, 11ax 2x2 ","Non-backlit, English (EU)
",5.1,"High Definition (HD) Audio

Stereo speakers, 1.5W x2, Dolby Audio
","HD 720p with Privacy Shutter
","1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0, and DisplayPort 1.2)
1x HDMI 1.4b
1x Card reader
1x Headphone/microphone combo jack (3.5mm)
1x Power connector","Arctic Grey
","324.2 x 215.7 x 19.9 mm (12.76 x 8.49 x 0.78 inches)
","1.41 kg (3.1 lbs)
","3 Years (Battery + Adapter 1 Year)
",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71500,AMD,Ryzen™ 5,NULL,16GB,512GB SSD,"Graphics Model: AMD Radeon
Graphics Memory: Shared
Graphics Type: Integrated","Display Type: 14""
Display Resolution: FHD (1920x1080)
Display Features: 250nits Anti-glare","65W Round Tip (3-pin)
","Battery Type: Integrated
Battery Capacity: 45Wh
Adapter Type: 65W Round Tip (3-pin)",NULL,"WiFi: Wi-Fi® 6, 11ax 2x2
Bluetooth: BT5.1","English (EU), Arctic ",5.1,"Speaker: Yes 
Microphone: 2x, Array 
Audio Features: High Definition (HD) Audio, Stereo speakers, 1.5W x2, Dolby Audio",SMART HD WEBCAM,"Card Reader: 4-in-1 Card Reader
HDMI Port: 1x HDMI 1.4b
USB 2 Port: 1x USB 2.0
USB 3 Port: 1x USB 3.2 Gen 1
USB Type-C / Thunderbolt Port: 1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0, and DisplayPort 1.2)
Headphone & Microphone Port: 1x Headphone/microphone combo jack (3.5mm)","Arctic Grey
","324.2 x 215.7 x 19.9 mm (12.76 x 8.49 x 0.78 inches)
","Starting at 1.43 kg (3.15 lbs)
",03 years Limited Warranty (Terms & Conditions Apply As Per Lenovo),NULL,NULL,NULL,"PC-ABS (Top), PC-ABS (Bottom)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103000,AMD,Ryzen 7,NULL,16GB,512GB SSD,"Integrated AMD Radeon Graphics
","14"" FHD (1920x1080) IPS 250nits Glossy-45% NTSC,10 Point Multi Touch","65W USB-C (3-pin)
","Integrated 52.5Wh
","Windows 11 Home 64, English
",802.11ac 2x2 Wi-Fi,"Backlit, English (EU)
","11ac, 2x2 + BT5.0
","High Definition (HD) Audio 
Stereo speakers, 2W x2, optimized with Dolby Audio","720p with Privacy Shutter
","1x USB 3.2 Gen 1 
1x USB 3.2 Gen 1 (Always On)
1x USB-C 3.2 Gen 1 (support data transfer and Power Delivery 3.0)
1x HDMI 1.4b
1x Card reader
1x Headphone / microphone combo jack (3.5mm)
1x Power connector",Graphite Grey,"321.5 x 217.5 x 17.9-20.9 mm (12.65 x 8.56 x 0.70-0.82 inches)
","1.5 kg (3.31 lbs)
","3 Year International (1 year for Battery and Adapter)
","AMD SoC Platform
",None,"Touch Style
",NULL,"10-point Multi-touch
","Firmware TPM 2.0
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88000,AMD,Ryzen 5,NULL,8GB,512GB SSD,"Integrated AMD Radeon Graphics
","14 inch FHD (1920x1080) IPS 250nits Glossy, 45% NTSC, Touch, 100% SRGB
","65W USB-C (3-pin)
","Integrated 52.5Wh
","Windows 11 Home 64, English
","11ac, 2x2 + BT5.0
","Backlit, English (EU)
","11ac, 2x2 + BT5.0
","High Definition (HD) Audio
","720p with Privacy Shutter
","1x USB 3.2 Gen 1 
1x USB 3.2 Gen 1 (Always On)
1x USB-C 3.2 Gen 1 (support data transfer and Power Delivery 3.0)
1x HDMI 1.4b
1x Card reader
1x Headphone / microphone combo jack (3.5mm)
1x Power connector",Graphite Grey,"321.5 x 217.5 x 17.9-20.9 mm (12.65 x 8.56 x 0.70-0.82 inches)
","1.5 kg (3.31 lbs)
",3 Years,"AMD SoC Platform
",None,"Touch Style
",NULL,"10-point Multi-touch
","Firmware TPM 2.0
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67000,AMD,Ryzen 5,NULL,,512GB SSD,AMD Radeon Graphics,"15.6"" FHD (1920x1080) IPS Display 300 nits, Aspect Ratio: 16:9, Color Gamut: 45% NTSC","65W Round Tip Wall-mount
","3 Cell 45Wh Internal battery
",Windows 11,802.11AC (2 x 2),"6-row, multimedia Fn keys , Backlit keyboard",Bluetooth 5.0,2 x 1.5W speakers Dolby Audio,"720 HD webcam with privacy shutter
","USB-C 3.2 Gen 1 
USB-A 3.2. Gen 1 
USB-A 2.0 
HDMI 1.4b
SD card reader
Headphone/mic combo jack",Arctic Grey,NULL,"Starting at 1.5kg
",3 Year International (1 year for Battery and Adapter),NULL,NULL,Yes (Smart Fingerprint),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
